InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,TRUE,Johnny Evers,18,6137,919,1659,216,70,12,538,324,.270,.334,0,2051,7,1929,eversjo01
FALSE,TRUE,Jimmy Austin,18,5388,661,1328,174,76,13,390,244,.246,.314,0,1693,0,1929,austiji01
FALSE,TRUE,Hughie Jennings,18,4895,992,1526,232,88,18,840,359,.312,.406,0,1988,0,1918,jennihu01
FALSE,TRUE,Bobby Lowe,18,7078,1135,1934,230,85,71,989,303,.273,.360,0,2547,0,1907,lowebo01
FALSE,FALSE,Tommy Corcoran,18,8824,1189,2259,289,155,34,1137,388,.256,.335,0,2960,0,1907,corcoto01
FALSE,FALSE,Duke Farrell,18,5682,829,1572,211,123,52,916,150,.277,.385,0,2185,0,1905,farredu01
FALSE,FALSE,Jimmy Ryan,18,8172,1643,2513,451,157,118,1093,419,.308,.444,0,3632,0,1903,ryanji01
FALSE,FALSE,Bid McPhee,18,8304,1684,2258,303,189,53,1072,568,.272,.373,0,3098,0,1899,mcphebi01
FALSE,TRUE,Buck Ewing,18,5363,1129,1625,250,178,71,883,354,.303,.456,0,2444,0,1897,ewingbu01
FALSE,FALSE,Roger Connor,18,7797,1620,2467,441,233,138,1323,244,.316,.486,0,3788,0,1897,connoro01
FALSE,FALSE,Jack Burdock,18,4915,778,1231,164,50,18,501,59,.250,.315,0,1549,0,1891,burdoja01
FALSE,FALSE,Pop Snyder,18,3643,433,855,124,41,9,384,33,.235,.299,0,1088,0,1891,snydepo01
FALSE,FALSE,Ezra Sutton,18,5360,994,1574,227,97,25,672,70,.294,.386,0,2070,0,1888,suttoez01
FALSE,FALSE,Joey Votto,17,7252,1171,2135,459,22,356,1144,80,.294,.511,6,3706,5,2023,vottojo01
FALSE,FALSE,Robinson Cano,17,8773,1262,2639,572,33,335,1306,51,.301,.488,8,4282,9,2022,canoro01
FALSE,FALSE,Jeff Mathis,17,2718,255,526,112,8,53,286,12,.194,.299,0,813,0,2021,mathije01
FALSE,TRUE,Brandon Phillips,17,7378,1005,2029,368,35,211,951,209,.275,.420,3,3100,5,2018,phillbr01
FALSE,TRUE,Jimmy Rollins,17,9294,1421,2455,511,115,231,936,470,.264,.418,3,3889,7,2016,rolliji01
FALSE,TRUE,Eric Chavez,17,5518,816,1477,318,24,260,902,50,.268,.475,0,2623,8,2014,chaveer01
FALSE,FALSE,Mark Kotsay,17,6464,790,1784,353,48,127,720,98,.276,.404,0,2614,0,2013,kotsama01
FALSE,TRUE,Andruw Jones,17,7599,1204,1933,383,36,434,1289,152,.254,.486,5,3690,15,2012,jonesan01
FALSE,FALSE,Miguel Cairo,17,3956,504,1044,193,34,41,394,139,.264,.361,0,1428,0,2012,cairomi01
FALSE,FALSE,Juan Castro,17,2627,253,601,123,13,36,234,5,.229,.327,0,858,0,2011,castrju01
FALSE,TRUE,Mike Cameron,17,6839,1064,1700,383,59,278,968,297,.249,.444,1,3035,3,2011,camermi01
FALSE,TRUE,Jorge Posada,17,6092,900,1664,379,10,275,1065,20,.273,.474,5,2888,10,2011,posadjo01
FALSE,TRUE,Garret Anderson,17,8640,1084,2529,522,36,287,1365,80,.293,.461,3,3984,5,2010,anderga01
FALSE,TRUE,Jim Edmonds,17,6858,1251,1949,437,25,393,1199,67,.284,.527,4,3615,11,2010,edmonji01
FALSE,TRUE,Carlos Delgado,17,7283,1241,2038,483,18,473,1512,14,.280,.546,2,3976,8,2009,delgaca01
FALSE,TRUE,Cliff Floyd,17,5319,824,1479,340,23,233,865,148,.278,.482,1,2564,0,2009,floydcl01
FALSE,FALSE,Damion Easley,17,5484,735,1386,287,27,163,684,114,.253,.404,1,2216,1,2008,easleda01
FALSE,TRUE,Moises Alou,17,7037,1109,2134,421,39,332,1287,106,.303,.516,6,3629,5,2008,aloumo01
FALSE,TRUE,Jeff Kent,17,8498,1320,2461,560,47,377,1518,94,.290,.500,5,4246,8,2008,kentje01
FALSE,TRUE,Kenny Lofton,17,8120,1528,2428,383,116,130,781,622,.299,.423,6,3433,4,2007,loftoke01
FALSE,TRUE,Reggie Sanders,17,6241,1037,1666,341,60,305,983,304,.267,.487,1,3042,1,2007,sandere02
FALSE,TRUE,Jeff Conine,17,6957,870,1982,385,36,214,1071,54,.285,.443,2,3081,1,2007,coninje01
FALSE,TRUE,Royce Clayton,17,7379,935,1904,363,55,110,723,231,.258,.367,1,2707,0,2007,claytro01
FALSE,FALSE,Pat Borders,17,3282,289,831,168,12,69,346,9,.253,.375,0,1230,1,2005,bordepa01
FALSE,TRUE,Juan Gonzalez,17,6556,1061,1936,388,25,434,1404,26,.295,.561,3,3676,12,2005,gonzaju03
FALSE,TRUE,Marquis Grissom,17,8275,1187,2251,386,56,227,967,429,.272,.415,2,3430,5,2005,grissma02
FALSE,TRUE,John Olerud,17,7592,1139,2239,500,13,255,1230,11,.295,.465,2,3530,4,2005,olerujo01
FALSE,FALSE,Tom Prince,17,1190,113,248,66,4,24,140,9,.208,.331,0,394,0,2003,princto01
FALSE,TRUE,Matt Williams,17,7000,997,1878,338,35,378,1218,53,.268,.489,5,3420,12,2003,willima04
FALSE,TRUE,Devon White,17,7344,1125,1934,378,71,208,846,346,.263,.419,3,3078,7,2001,whitede03
FALSE,TRUE,Paul O'Neill,17,7318,1041,2105,451,21,281,1269,141,.288,.470,5,3441,0,2001,oneilpa01
FALSE,FALSE,Stan Javier,17,5047,781,1358,225,40,57,503,246,.269,.363,0,1834,0,2001,javiest01
FALSE,TRUE,Eric Davis,17,5321,938,1430,239,26,282,934,349,.269,.482,2,2567,9,2001,daviser01
FALSE,TRUE,Tony Fernandez,17,7911,1057,2276,414,92,94,844,246,.288,.399,5,3156,5,2001,fernato01
FALSE,TRUE,Jose Canseco,17,7057,1186,1877,340,14,462,1407,200,.266,.515,7,3631,11,2001,cansejo01
FALSE,FALSE,Jeff Reed,17,3101,311,774,144,10,61,323,7,.250,.361,0,1121,0,2000,reedje02
FALSE,TRUE,Otis Nixon,17,5115,878,1379,142,27,11,318,620,.270,.314,0,1608,0,1999,nixonot01
FALSE,TRUE,Darryl Strawberry,17,5418,898,1401,256,38,335,1000,221,.259,.505,8,2738,5,1999,strawda01
FALSE,FALSE,Rafael Belliard,17,2301,217,508,55,14,2,142,43,.221,.259,0,597,0,1998,bellira01
FALSE,TRUE,Brett Butler,17,8180,1359,2375,277,131,54,578,558,.290,.376,1,3076,2,1997,butlebr01
FALSE,TRUE,Tim Wallach,17,8099,908,2085,432,36,260,1125,51,.257,.416,5,3369,7,1996,wallati01
FALSE,TRUE,Kirk Gibson,17,5798,985,1553,260,54,255,870,284,.268,.463,0,2686,3,1995,gibsoki01
FALSE,TRUE,Lonnie Smith,17,5170,909,1488,273,58,98,533,370,.288,.420,1,2171,1,1994,smithlo01
FALSE,FALSE,Jim Gantner,17,6189,726,1696,262,38,47,568,137,.274,.351,0,2175,0,1992,gantnji01
FALSE,FALSE,Dave Bergman,17,2679,312,690,100,16,54,289,19,.258,.367,0,984,0,1992,bergmda01
FALSE,TRUE,Keith Hernandez,17,7370,1124,2182,426,60,162,1071,98,.296,.436,5,3214,21,1990,hernake01
FALSE,TRUE,Fred Lynn,17,6925,1063,1960,388,43,306,1111,72,.283,.484,9,3352,12,1990,lynnfr01
FALSE,TRUE,Claudell Washington,17,6787,926,1884,334,69,164,824,312,.278,.420,2,2848,0,1990,washicl01
FALSE,TRUE,Manny Trillo,17,5950,598,1562,239,33,61,571,56,.263,.345,5,2050,9,1989,trillma01
FALSE,TRUE,Greg Gross,17,3745,449,1073,130,46,7,308,39,.287,.351,0,1316,0,1989,grossgr01
FALSE,FALSE,Alan Ashby,17,4123,397,1010,183,13,90,513,7,.245,.361,0,1489,0,1989,ashbyal01
FALSE,FALSE,Juan Beniquez,17,4651,610,1274,190,30,79,476,104,.274,.379,0,1761,1,1988,beniqju01
FALSE,TRUE,Chris Chambliss,17,7571,912,2109,392,42,185,972,40,.279,.415,1,3140,3,1988,chambch01
FALSE,TRUE,Ron Cey,17,7162,977,1868,328,21,316,1139,24,.261,.445,6,3186,3,1987,ceyro01
FALSE,TRUE,Cecil Cooper,17,7349,1012,2192,415,47,241,1125,89,.298,.466,5,3424,10,1987,coopece01
FALSE,TRUE,Darrell Porter,17,5539,765,1369,237,48,188,826,39,.247,.409,4,2266,3,1987,porteda02
FALSE,FALSE,Buck Martinez,17,2743,245,618,128,10,58,321,5,.225,.343,0,940,0,1986,martibu01
FALSE,TRUE,Cesar Cedeno,17,7310,1084,2087,436,60,199,976,550,.285,.443,4,3240,9,1986,cedence01
FALSE,TRUE,Bobby Grich,17,6890,1033,1833,320,47,224,864,104,.266,.424,6,2919,8,1986,grichbo01
FALSE,TRUE,Toby Harrah,17,7402,1115,1954,307,40,195,918,238,.264,.395,4,2926,1,1986,harrato01
FALSE,TRUE,Oscar Gamble,17,4502,656,1195,188,31,200,666,47,.265,.454,0,2045,0,1985,gamblos01
FALSE,TRUE,Mike Jorgensen,17,3421,429,833,132,13,95,426,58,.243,.373,0,1276,1,1985,jorgemi01
FALSE,TRUE,Amos Otis,17,7299,1092,2020,374,66,193,1007,341,.277,.425,5,3105,4,1984,otisam01
FALSE,TRUE,Bobby Murcer,17,6730,972,1862,285,45,252,1043,127,.277,.445,5,2993,4,1983,murcebo01
FALSE,FALSE,Aurelio Rodriguez,17,6611,612,1570,287,46,124,648,35,.237,.351,0,2321,1,1983,rodriau01
FALSE,TRUE,Reggie Smith,17,7033,1123,2020,363,57,314,1092,137,.287,.489,7,3439,2,1982,smithre06
FALSE,TRUE,Minnie Minoso,17,13158,2272,3926,672,166,372,2046,410,.298,.459,16,6046,10,1980,minosmi01
