InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Bill Brinker,1,18,1,4,1,0,0,2,0,0.222222222222222,0.277777777777778,0,0,0,0,0,5,0,1912,258
FALSE,FALSE,Cuke Barrows,4,99,6,19,2,0,0,9,3,0.191919191919192,0.212121212121212,0,0,0,0,0,21,0,1912,259
FALSE,FALSE,George Batten,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,260
FALSE,FALSE,George Aiton,1,17,1,4,0,0,0,1,0,0.235294117647059,0.235294117647059,0,0,0,0,0,4,0,1912,261
FALSE,FALSE,Joe Kutina,2,306,30,68,15,5,4,33,2,0.222222222222222,0.343137254901961,0,0,0,0,0,105,0,1912,262
FALSE,FALSE,Andy Kyle,1,21,3,7,1,0,0,4,0,0.333333333333333,0.380952380952381,0,0,0,0,0,8,0,1912,263
FALSE,FALSE,Paul Krichell,2,243,25,54,9,0,0,16,4,0.222222222222222,0.259259259259259,0,0,0,0,0,63,0,1912,264
FALSE,FALSE,Jack Kibble,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,265
FALSE,FALSE,Mickey Keliher,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,266
FALSE,FALSE,Phil Ketter,1,6,1,2,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,2,0,1912,267
FALSE,FALSE,Bill Leinhauser,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,268
FALSE,FALSE,Jack Little,1,12,2,3,0,0,0,0,2,0.25,0.25,0,0,0,0,0,3,0,1912,269
FALSE,FALSE,Mike Loan,1,2,1,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,1912,270
FALSE,FALSE,Ed Irwin,1,3,0,2,0,2,0,0,0,0.666666666666667,2,0,0,0,0,0,6,0,1912,271
FALSE,FALSE,Bill Hunter,1,55,6,9,2,0,0,2,0,0.163636363636364,0.2,0,0,0,0,0,11,0,1912,272
FALSE,FALSE,Ben Houser,3,472,58,126,21,5,9,68,3,0.266949152542373,0.389830508474576,0,0,0,0,0,184,0,1912,273
FALSE,FALSE,Willie Hogan,2,822,86,194,28,10,3,100,35,0.236009732360097,0.305352798053528,0,0,0,0,0,251,0,1912,274
FALSE,FALSE,Eddie Hohnhorst,2,117,13,31,4,1,0,8,8,0.264957264957265,0.316239316239316,0,0,0,0,0,37,0,1912,275
FALSE,FALSE,Heinie Jantzen,1,119,10,22,0,1,1,8,3,0.184873949579832,0.226890756302521,0,0,0,0,0,27,0,1912,276
FALSE,FALSE,Bill Jones,2,53,6,12,2,1,0,5,1,0.226415094339623,0.30188679245283,0,0,0,0,0,16,0,1912,277
FALSE,FALSE,Jim Galloway,1,54,4,10,2,0,0,4,2,0.185185185185185,0.222222222222222,0,0,0,0,0,12,0,1912,278
FALSE,FALSE,Earle Gardner,5,948,105,249,26,5,1,108,38,0.262658227848101,0.30379746835443,0,0,0,0,0,288,0,1912,279
FALSE,FALSE,Gus Fisher,2,213,21,54,6,3,0,12,6,0.253521126760563,0.309859154929577,0,0,0,0,0,66,0,1912,280
FALSE,FALSE,Howard Fahey,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,281
FALSE,FALSE,John Flynn,3,462,46,115,14,4,6,60,8,0.248917748917749,0.335497835497836,0,0,0,0,0,155,0,1912,282
FALSE,FALSE,Arthur Hauger,1,18,0,1,0,0,0,0,0,0.0555555555555556,0.0555555555555556,0,0,0,0,0,1,0,1912,283
FALSE,FALSE,Bob Higgins,3,35,1,5,0,0,0,2,1,0.142857142857143,0.142857142857143,0,0,0,0,0,5,0,1912,284
FALSE,FALSE,Harvey Grubb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,285
FALSE,FALSE,Ed Hallinan,2,255,24,54,5,1,0,15,7,0.211764705882353,0.23921568627451,0,0,0,0,0,61,0,1912,286
FALSE,FALSE,Stan Gray,1,20,4,5,0,1,0,2,0,0.25,0.35,0,0,0,0,0,7,0,1912,287
FALSE,FALSE,George Yantz,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1912,288
FALSE,FALSE,Fred Walden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,289
FALSE,FALSE,Hap Ward,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,290
FALSE,FALSE,Bert Tooley,2,698,89,151,17,8,3,66,30,0.216332378223496,0.276504297994269,0,0,0,0,0,193,0,1912,291
FALSE,FALSE,Homer Thompson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,292
FALSE,FALSE,Gene Steinbrenner,1,9,0,2,1,0,0,1,0,0.222222222222222,0.333333333333333,0,0,0,0,0,3,0,1912,293
FALSE,FALSE,Dolly Stark,4,378,38,90,7,1,0,30,14,0.238095238095238,0.261904761904762,0,0,0,0,0,99,0,1912,294
FALSE,FALSE,Jim Stephens,6,1252,95,276,30,21,3,97,14,0.220447284345048,0.285143769968051,0,0,0,0,0,357,0,1912,295
FALSE,FALSE,Tom Tennant,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,296
FALSE,FALSE,Henry Smoyer,1,14,1,3,0,0,0,0,0,0.214285714285714,0.214285714285714,0,0,0,0,0,3,0,1912,297
FALSE,FALSE,Charlie Snell,1,19,0,4,1,0,0,0,0,0.210526315789474,0.263157894736842,0,0,0,0,0,5,0,1912,298
FALSE,FALSE,Harry Spratt,2,243,28,60,7,6,5,28,3,0.246913580246914,0.386831275720165,0,0,0,0,0,94,0,1912,299
FALSE,FALSE,Jack Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,300
FALSE,FALSE,Klondike Smith,1,27,0,5,1,0,0,0,1,0.185185185185185,0.222222222222222,0,0,0,0,0,6,0,1912,301
FALSE,FALSE,Art Schwind,1,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,1912,302
FALSE,FALSE,Doc Shanley,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1912,303
FALSE,FALSE,Roy Moran,1,13,1,2,0,0,0,0,3,0.153846153846154,0.153846153846154,0,0,0,0,0,2,0,1912,304
FALSE,FALSE,Charley Moore,1,9,2,2,0,1,0,2,0,0.222222222222222,0.444444444444444,0,0,0,0,0,4,0,1912,305
FALSE,FALSE,Moxie Meixell,1,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,1912,306
FALSE,FALSE,John Mercer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,307
FALSE,FALSE,Charlie Miller,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,308
FALSE,FALSE,Lou Nagelsen,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,309
FALSE,FALSE,Ovid Nicholson,1,11,2,5,0,0,0,3,0,0.454545454545455,0.454545454545455,0,0,0,0,0,5,0,1912,310
FALSE,FALSE,Hub Northen,3,584,76,159,29,8,3,63,14,0.272260273972603,0.36472602739726,0,0,0,0,0,213,0,1912,311
FALSE,FALSE,Harl Maggert,2,248,40,62,8,6,1,13,11,0.25,0.342741935483871,0,0,0,0,0,85,0,1912,312
